mode,phase,run,case,sha,binary_sha256,frames,setup_ms,p50_ms,p95_ms,p99_ms,max_ms,over_33,over_100,longest_over_33,setup_records,setup_proxies,setup_tracked_identities,setup_stress_mode,records_first,records_last,records_minimum,records_maximum,proxies_first,proxies_last,proxies_minimum,proxies_maximum,caps_first,caps_last,caps_minimum,caps_maximum,textures_first,textures_last,textures_minimum,textures_maximum,mids_first,mids_last,mids_minimum,mids_maximum,fine_bytes_first,fine_bytes_last,fine_bytes_minimum,fine_bytes_maximum,working_set_first,working_set_last,working_set_minimum,working_set_maximum,uobjects_first,uobjects_last,uobjects_minimum,uobjects_maximum,rhi_texture_bytes_first,rhi_texture_bytes_last,rhi_texture_bytes_maximum,engine_game_ms_p50_ms,engine_game_ms_p95_ms,engine_game_ms_p99_ms,engine_game_ms_max_ms,engine_render_ms_p50_ms,engine_render_ms_p95_ms,engine_render_ms_p99_ms,engine_render_ms_max_ms,engine_rhi_ms_p50_ms,engine_rhi_ms_p95_ms,engine_rhi_ms_p99_ms,engine_rhi_ms_max_ms,engine_gpu_ms_p50_ms,engine_gpu_ms_p95_ms,engine_gpu_ms_p99_ms,engine_gpu_ms_max_ms,engine_game_wait_ms_p50_ms,engine_game_wait_ms_p95_ms,engine_game_wait_ms_p99_ms,engine_game_wait_ms_max_ms,engine_render_wait_ms_p50_ms,engine_render_wait_ms_p95_ms,engine_render_wait_ms_p99_ms,engine_render_wait_ms_max_ms,engine_present_ms_p50_ms,engine_present_ms_p95_ms,engine_present_ms_p99_ms,engine_present_ms_max_ms,gray_stage_current_reveal_us_p50_us,gray_stage_current_reveal_us_p95_us,gray_stage_current_reveal_us_p99_us,gray_stage_current_reveal_us_max_us,gray_stage_historical_us_p50_us,gray_stage_historical_us_p95_us,gray_stage_historical_us_p99_us,gray_stage_historical_us_max_us,gray_stage_coverage_us_p50_us,gray_stage_coverage_us_p95_us,gray_stage_coverage_us_p99_us,gray_stage_coverage_us_max_us,gray_stage_occupancy_us_p50_us,gray_stage_occupancy_us_p95_us,gray_stage_occupancy_us_p99_us,gray_stage_occupancy_us_max_us,gray_stage_ownership_us_p50_us,gray_stage_ownership_us_p95_us,gray_stage_ownership_us_p99_us,gray_stage_ownership_us_max_us,gray_stage_texture_us_p50_us,gray_stage_texture_us_p95_us,gray_stage_texture_us_p99_us,gray_stage_texture_us_max_us,gray_stage_cap_us_p50_us,gray_stage_cap_us_p95_us,gray_stage_cap_us_p99_us,gray_stage_cap_us_max_us,gray_stage_refresh_us_p50_us,gray_stage_refresh_us_p95_us,gray_stage_refresh_us_p99_us,gray_stage_refresh_us_max_us,gray_memory_p95_ms
PIE,before,Before_PIE_01,Empty,194a0dbddacf9c5ea5d6b19f66773c2effb984c0,6668FAD744D2B2F3B6829FF1B1668354641A799BAF6EE697FD65D8DE3C4B386F,240,0.18910000017058337,31.035899999551475,33.708300000398594,35.42880000077275,41.58540000025823,18,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4330512384,4303118336,4303060992,4341764096,62829,62829,62829,62829,3524317184,3524620288,3524710400,13.0817,15.013,16.1185,39.7243,0.0002,0.0005,0.0068,0.0138,0.1615,3.8165,4.0424,4.1748,25.9649,27.2064,27.5801,27.6262,18.0013,20.1131,20.7901,21.5088,0.0062,0.0084,0.0105,0.025,0.0062,0.0084,0.0105,0.025,121.7,153.8,176.5,274.7,0.2,0.5,0.7,0.8,71.0,91.9,110.8,218.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22030000000000002
PIE,before,Before_PIE_01,OneWhole,194a0dbddacf9c5ea5d6b19f66773c2effb984c0,6668FAD744D2B2F3B6829FF1B1668354641A799BAF6EE697FD65D8DE3C4B386F,300,1.922000000377011,31.116600000132166,33.509600000797946,45.922100000098,67.98170000001846,32,0,2,0,0,8,1,1,1,1,1,1,1,1,1,0,0,0,0,4,4,4,4,3,3,3,3,0,235520,0,235520,4303532032,4321546240,4303532032,4324880384,62829,62829,62829,62829,3524620288,3524698112,3524698112,13.1053,14.6995,22.8812,30.9491,0.0002,0.0004,0.0006,0.006,0.1879,3.8328,4.1068,4.2473,26.1696,27.2908,27.5746,29.1063,17.9802,20.1954,21.2994,46.4521,0.0063,0.0083,0.0103,0.0151,0.0063,0.0083,0.0103,0.0151,138.3,236.0,259.9,11284.1,49.4,97.6,111.2,656.8,94.0,120.5,126.1,181.4,0.4,3.0,4.8,386.2,0.4,0.8,1.1,82.1,0.0,99.7,115.9,136.8,0.1,0.2,0.4,5.8,0.0,0.0,0.0,0.0,0.42460000000000003
PIE,before,Before_PIE_01,EightWhole,194a0dbddacf9c5ea5d6b19f66773c2effb984c0,6668FAD744D2B2F3B6829FF1B1668354641A799BAF6EE697FD65D8DE3C4B386F,300,13.723699999900418,31.243800000083866,35.985299999993,40.087100000164355,42.313399999329704,62,0,2,0,0,15,2,8,9,8,9,8,8,8,8,0,0,0,0,32,38,32,38,24,24,24,24,0,1884160,0,1884160,4322050048,4320854016,4318187520,4324319232,62829,62829,62829,62829,3524698112,3525722112,3525722112,14.0313,18.7038,23.1253,38.532,0.0002,0.0004,0.0053,0.0072,0.1729,3.6818,4.1199,4.291,26.1907,27.1732,27.4128,27.7608,17.1132,19.6783,20.355,21.1664,0.0062,0.0079,0.0092,0.0103,0.0062,0.0079,0.0092,0.0103,244.9,834.8,5720.8,8620.3,360.5,3940.3,6487.4,6734.5,270.6,467.8,715.6,802.4,1.9,65.2,721.2,1098.2,0.8,1133.5,1827.2,1871.7,0.0,329.3,399.6,473.7,0.2,0.6,1.1,2.3,0.0,0.0,0.0,0.0,5.9699
PIE,before,Before_PIE_01,ThirtyTwoWhole,194a0dbddacf9c5ea5d6b19f66773c2effb984c0,6668FAD744D2B2F3B6829FF1B1668354641A799BAF6EE697FD65D8DE3C4B386F,360,56.38040000030742,31.188799999654293,38.53309999976773,48.438200000418874,117.13139999937994,106,1,3,0,0,39,3,31,29,27,32,27,27,27,27,0,0,0,0,120,150,120,150,81,81,81,81,0,6359040,0,6359040,4320718848,4366897152,4320718848,4366897152,64293,64353,64293,64353,3528626176,3530633216,3530633216,16.399,26.1393,36.6117,115.1998,0.0002,0.0004,0.0058,32.3689,0.1727,0.3752,0.5028,3.8407,26.4099,27.4035,27.7959,28.0381,14.1515,17.604,18.7371,22.575,0.0064,0.0085,0.0111,0.0154,0.0064,0.0085,0.0111,0.0154,981.9,2647.0,3493.5,39842.0,1201.2,8745.1,16124.5,16714.0,770.6,1440.0,1710.3,1997.6,5.0,244.2,270.0,5205.3,1.8,1401.5,2180.3,2248.1,0.0,1203.0,1335.0,2229.0,0.4,1.5,1.8,3.1,0.0,0.0,0.0,0.0,12.9427
PIE,before,Before_PIE_01,PartialNewThenRepeat,194a0dbddacf9c5ea5d6b19f66773c2effb984c0,6668FAD744D2B2F3B6829FF1B1668354641A799BAF6EE697FD65D8DE3C4B386F,360,23.876799999925424,20.069799999873794,31.87519999937649,38.202300000193645,53.82709999958024,14,0,2,0,0,7,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,0,3809280,0,3809280,4386725888,4403658752,4378570752,4403658752,64411,64411,64411,64411,3539939328,3539939328,3539939328,11.1671,18.405,31.4634,51.8756,0.0002,0.0004,0.0006,0.008,0.1756,3.9565,4.2744,4.5322,16.0989,26.5701,27.7362,33.4126,9.5015,17.9368,22.3672,24.5691,0.0066,0.0097,0.0142,0.0543,0.0066,0.0097,0.0142,0.0543,3259.4,5299.4,10387.3,19393.6,0.9,83.0,4733.1,11817.1,0.0,127.0,468.8,797.5,0.0,1.1,10.2,5533.0,0.0,0.9,1.3,1260.7,0.0,0.0,1889.0,2008.7,0.4,1.8,11655.3,12829.3,0.0,0.0,0.0,0.0,5.3534
PIE,before,Before_PIE_01,Overlap64,194a0dbddacf9c5ea5d6b19f66773c2effb984c0,6668FAD744D2B2F3B6829FF1B1668354641A799BAF6EE697FD65D8DE3C4B386F,360,346.78100000019185,31.070300000465068,33.46070000043255,34.39239999988786,785.8279000001858,28,1,1,65,65,15,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,3809280,3809280,3809280,3809280,4418260992,4416516096,4416507904,4421652480,65803,65803,65803,65803,3547803648,3533926400,3547803648,13.4456,15.553,16.7063,775.1512,0.0002,0.0004,0.0005,0.0094,0.1764,3.8718,4.0781,4.153,26.0533,27.1317,27.6802,28.4611,17.6615,19.8192,20.6005,20.865,0.0065,0.009,0.0119,0.1257,0.0065,0.009,0.0119,0.1257,121.0,156.3,176.5,208.2,0.4,0.7,1.1,374948.1,71.3,88.0,124.3,2291.6,0.0,0.0,0.0,10033.6,0.0,0.0,0.0,304504.0,0.0,0.0,0.0,7567.6,0.0,0.0,0.0,23362.4,0.0,0.0,0.0,0.0,0.2379
PIE,before,Before_PIE_01,SameIdentity64,194a0dbddacf9c5ea5d6b19f66773c2effb984c0,6668FAD744D2B2F3B6829FF1B1668354641A799BAF6EE697FD65D8DE3C4B386F,360,343.52450000005774,30.834000000140804,33.283400000073016,34.51519999998709,1257.2580000005473,29,1,2,65,65,8,5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,3809280,3809280,3809280,3809280,4421758976,4422025216,4421758976,4422025216,65803,65803,65803,65803,3542069248,3542069248,3542069248,13.1901,15.052,16.6815,1248.2719,0.0002,0.0004,0.0064,0.0088,0.1809,3.8071,4.1017,4.3458,25.952,27.1353,28.5392,29.0281,17.8525,19.81,20.4063,20.9012,0.0062,0.0084,0.0118,0.0129,0.0062,0.0084,0.0118,0.0129,122.0,149.7,174.8,365.3,0.3,0.6,0.7,854624.1,72.2,87.7,111.9,1755.8,0.0,0.0,0.0,10976.2,0.0,0.0,0.0,704728.8,0.0,0.0,0.0,8042.8,0.0,0.0,0.0,95178.3,0.0,0.0,0.0,0.0,0.2132
PIE,before,Before_PIE_01,Distributed184,194a0dbddacf9c5ea5d6b19f66773c2effb984c0,6668FAD744D2B2F3B6829FF1B1668354641A799BAF6EE697FD65D8DE3C4B386F,360,1066.1329000004116,31.188099999781116,34.15789999962726,39.717900000141526,3600.6797000000006,52,2,7,185,185,10,6,121,121,121,121,121,121,121,121,121,121,121,121,122,122,122,122,361,361,361,361,44966912,44966912,44966912,44966912,4569305088,4553244672,4553228288,4570103808,66036,66036,66036,66036,3565449216,3565449216,3565449216,13.28,14.8845,17.4471,3548.0398,0.0002,0.0004,0.0058,0.0069,0.1951,3.921,4.1649,4.6919,26.3253,27.5371,36.0157,110.7481,17.9578,20.4309,25.9786,102.2877,0.0063,0.0082,0.0097,0.0106,0.0063,0.0082,0.0097,0.0106,121.3,156.7,180.7,215.8,0.4,0.7,0.8,2411040.8,71.7,89.4,116.4,6429.4,0.0,0.0,0.0,88073.8,0.0,0.0,0.0,1964393.3,0.0,0.0,0.0,26466.6,0.0,0.0,0.0,274737.1,0.0,0.0,0.0,0.0,0.2329
PIE,before,Before_PIE_01,FastSweep90,194a0dbddacf9c5ea5d6b19f66773c2effb984c0,6668FAD744D2B2F3B6829FF1B1668354641A799BAF6EE697FD65D8DE3C4B386F,180,392.4913999999262,19.489100000100734,20.827899999858346,21.64080000056856,840.2274000000034,1,1,1,65,65,15,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,3809280,3809280,3809280,3809280,4554182656,4553388032,4553388032,4554485760,67380,67380,67380,67380,3573313536,3573313536,3573313536,7.797,8.9963,30.5197,812.189,0.0002,0.0005,0.0006,0.0058,0.1714,0.3101,0.4754,0.4767,15.5666,16.2468,27.255,30.7512,11.6647,12.6844,13.0995,17.0836,0.0063,0.0087,0.0129,0.0376,0.0063,0.0087,0.0129,0.0376,47.7,59.5,123.2,145.2,0.5,0.8,1.0,382068.8,0.0,0.0,77.7,1615.7,0.0,0.0,0.0,9964.6,0.0,0.0,0.0,308711.0,0.0,0.0,0.0,7810.7,0.0,0.0,0.0,24825.0,0.0,0.0,0.0,0.0,0.1426
PIE,before,Before_PIE_01,FastSweep160,194a0dbddacf9c5ea5d6b19f66773c2effb984c0,6668FAD744D2B2F3B6829FF1B1668354641A799BAF6EE697FD65D8DE3C4B386F,180,376.251400000001,19.34830000027432,20.91740000014397,21.383999999670777,823.8807999996425,1,1,1,65,65,15,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,3809280,3809280,3809280,3809280,4553715712,4549820416,4549591040,4553785344,68644,68644,68644,68644,3581177856,3581177856,3581177856,7.7309,8.9891,30.1617,794.6185,0.0002,0.0005,0.0062,0.0066,0.1704,0.2848,0.3923,0.4303,15.4994,16.2246,28.5233,28.5233,11.606,12.689,13.1899,18.2829,0.0063,0.0079,0.0115,0.0128,0.0063,0.0079,0.0115,0.0128,47.2,61.6,131.8,139.2,0.5,0.8,1.2,383754.8,0.0,0.0,81.3,1548.3,0.0,0.0,0.0,9845.1,0.0,0.0,0.0,313239.5,0.0,0.0,0.0,7621.2,0.0,0.0,0.0,24048.4,0.0,0.0,0.0,0.0,0.1551
