case,x,y,z,revision,hard_point,hard_static_support,hard_object_support,object_min_coverage,object_stored,static_stored,cpu_coverage,gpu_texel,product_note
bypass_dark,-590.0000,0.0000,92.0000,8,1,1,1,1.000000,1,1,1.000000,1.000000,legal body observation may remember
vision_dark,550.0000,0.0000,92.0000,8,0,0,0,0.000000,0,0,0.000000,0.000000,no light must not remember
lit_interior,550.0000,0.0000,92.0000,9,1,1,1,1.000000,1,1,1.000000,1.000000,matching scope interior
surface_height,550.0000,0.0000,75.0000,9,1,1,1,1.000000,1,1,1.000000,1.000000,no top-face normal or observer-height test in XY consumers
surface_height,550.0000,0.0000,140.0000,9,1,1,1,1.000000,1,1,1.000000,1.000000,no top-face normal or observer-height test in XY consumers
surface_height,550.0000,0.0000,240.0000,9,1,1,1,1.000000,1,1,1.000000,1.000000,no top-face normal or observer-height test in XY consumers
surface_height,550.0000,0.0000,290.0000,9,1,1,1,1.000000,1,1,1.000000,1.000000,no top-face normal or observer-height test in XY consumers
light_edge,449.0000,0.0000,92.0000,9,0,0,0,0.095847,0,0,0.100000,0.000000,point versus conservative support and texel footprint
light_edge,450.0000,0.0000,92.0000,9,1,1,0,0.495833,0,0,0.500000,0.998535,point versus conservative support and texel footprint
light_edge,450.2500,0.0000,92.0000,9,1,1,1,0.595830,0,0,0.600000,0.998535,point versus conservative support and texel footprint
light_edge,451.0000,0.0000,92.0000,9,1,1,1,0.895819,0,0,0.900000,0.998535,point versus conservative support and texel footprint
light_edge,452.5000,0.0000,92.0000,9,1,1,1,1.000000,1,1,1.000000,1.000000,point versus conservative support and texel footprint
light_edge,455.0000,0.0000,92.0000,9,1,1,1,1.000000,1,1,1.000000,1.000000,point versus conservative support and texel footprint
light_height_mismatch,550.0000,0.0000,92.0000,10,0,0,0,1.000000,1,1,1.000000,1.000000,hard rejects target outside light height band
light_height_match,550.0000,0.0000,240.0000,10,1,1,1,1.000000,1,1,1.000000,1.000000,hard accepts height band; top visibility still unspecified
elevated_light,550.0000,0.0000,92.0000,11,1,1,1,1.000000,1,1,1.000000,1.000000,source Z changed; no slab propagation model
different_floor_no_slab,550.0000,0.0000,92.0000,13,0,0,0,0.000000,0,0,0.000000,0.000000,product allows propagation; runtime floor equality excludes light even without slab
occlusion_route,550.0000,100.0000,92.0000,14,1,1,1,1.000000,1,1,1.000000,1.000000,existing fixture wall and door segments; not a horizontal slab
occlusion_route,550.0000,200.0000,92.0000,14,1,1,1,1.000000,1,1,1.000000,1.000000,existing fixture wall and door segments; not a horizontal slab
occlusion_route,550.0000,400.0000,92.0000,14,0,0,0,0.000000,0,0,0.000000,0.000000,existing fixture wall and door segments; not a horizontal slab
illumination_without_vision,-900.0000,0.0000,92.0000,15,0,0,0,0.000000,0,0,0.000000,0.000000,behind cone and outside body; light alone must not remember
vision_edge,-350.0000,380.0000,92.0000,16,1,1,1,0.865076,0,1,1.000000,1.000000,fixed cone angular boundary
vision_edge,-350.0000,390.0000,92.0000,16,0,0,0,0.000000,0,0,0.000000,0.000000,fixed cone angular boundary
disabled,550.0000,0.0000,92.0000,18,0,0,0,0.000000,0,0,0.000000,0.000000,fresh stores avoid prior Gray ambiguity
reactivated,550.0000,0.0000,92.0000,19,1,1,1,1.000000,1,1,1.000000,1.000000,new observation may remember
destroyed,550.0000,0.0000,92.0000,20,0,0,0,0.000000,0,0,0.000000,0.000000,no stale light
